Pipeline Type,Cause Category,Unintentional Release (Barrels)
ABOVEGROUND,INCORRECT OPERATION,2
UNDERGROUND,INCORRECT OPERATION,0
ABOVEGROUND,ALL OTHER CAUSES,299
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,6.2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.48
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.83
UNDERGROUND,CORROSION,241
TANK,MATERIAL/WELD/EQUIP FAILURE,0.12
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3.57
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3.36
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2.5
UNDERGROUND,CORROSION,0.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3.53
UNDERGROUND,CORROSION,20
TANK,MATERIAL/WELD/EQUIP FAILURE,1
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.48
UNDERGROUND,CORROSION,95
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,17
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.36
UNDERGROUND,EXCAVATION DAMAGE,120
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,48
ABOVEGROUND,INCORRECT OPERATION,0.48
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,15
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,8.62
TRANSITION AREA,INCORRECT OPERATION,15
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.71
UNDERGROUND,EXCAVATION DAMAGE,25
UNDERGROUND,CORROSION,1030
TRANSITION AREA,CORROSION,0.24
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,100
ABOVEGROUND,INCORRECT OPERATION,4
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.35
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,10
UNDERGROUND,CORROSION,0.76
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,90
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.48
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.54
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2.3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.43
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,26
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,83
ABOVEGROUND,INCORRECT OPERATION,500
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,500
UNDERGROUND,CORROSION,0.83
UNDERGROUND,CORROSION,75
UNDERGROUND,CORROSION,6
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.98
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.6
TANK,MATERIAL/WELD/EQUIP FAILURE,0.19
ABOVEGROUND,INCORRECT OPERATION,1.17
UNDERGROUND,CORROSION,3.78
UNDERGROUND,CORROSION,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
TANK,NATURAL FORCE DAMAGE,1.42
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.23
TANK,CORROSION,2
UNDERGROUND,EXCAVATION DAMAGE,286
UNDERGROUND,EXCAVATION DAMAGE,3415
UNDERGROUND,CORROSION,199
UNDERGROUND,EXCAVATION DAMAGE,4544
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,29
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.48
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,1760
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,INCORRECT OPERATION,0.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.36
