Accident Year,Accident State,Unintentional Release (Barrels)
2012,AK,3.26
2012,CA,2
2012,NJ,75
2012,TX,2
2012,SC,323.8
2012,KS,0.71
2012,MS,0.95
2012,IL,0.17
2012,IA,11.9
2012,LA,0.5
2012,PA,0.6
2012,AR,60
2012,WI,1.52
2012,NM,0.36
2012,WY,440
2012,KS,262
2012,TX,70
2012,WI,215
2012,TX,0.16
2012,TX,26
2012,TX,0.33
2012,IN,0.24
2012,OK,32
2012,CA,0.5
2012,OH,0.6
2012,TX,0.35
2012,KS,0.48
2012,LA,0.45
2012,OK,100
2012,MN,1477
2012,TX,1.2
2012,LA,0.83
2012,MT,0.35
2012,TX,14
2012,MI,20
2012,NJ,5.4
2012,WI,5
2012,TX,1
2012,MD,5
2012,IN,0.01
2012,TX,2
2012,MN,0.24
2012,MN,0.24
2012,SD,500
2012,IN,24
2012,MT,0.23
2012,MT,183
2012,OK,2
2012,TX,1300
2012,TX,2
2012,TX,0.16
2012,TX,0.12
2012,TX,128
2012,IL,1500
2012,LA,0.17
2012,TX,1.5
2012,TX,0.5
2012,TX,3
2012,TX,1
2012,NE,1.9
2012,OK,0.24
2012,IN,0.2
2012,TX,0.12
2012,NJ,0.12
2012,NJ,0.5
2012,LA,4.3
2012,MT,0.5
2012,TX,1
2012,LA,204
2012,TX,3
2012,TX,0.48
2012,MN,0.02
2012,IL,11
2012,MN,1.19
2012,IL,12
2012,MN,0.24
2012,KS,10
2012,TX,0.48
2012,IL,0.4
2012,IL,1.6
2012,NE,222
2012,TX,100
2012,TX,75
2012,WA,1.96
2012,WA,0.97
2012,TX,4.5
2012,TX,3.88
2012,IL,0.36
2012,TX,2.5
2012,TX,3
2012,OH,0.1
2012,TX,15.15
2012,MO,20
2012,TX,0.48
2012,MN,0.6
2012,TX,5
2012,OK,600
2012,CA,4.5
2012,OK,1.84
2012,MS,0.87
2012,LA,5.5
2012,LA,0.23
2012,MN,0.24
2012,IL,41.64
2012,TX,116
2012,OK,5
2012,KS,0.48
2012,TX,0.38
2012,TX,3
2012,NJ,35.26
2012,CA,2.7
2012,TX,0.16
2012,CA,5
2012,AK,0.28
2012,IN,0.72
2012,KY,0.47
2012,TX,3
2012,NJ,0.17
2012,OK,0.5
2012,LA,2880
2012,OK,15
2012,TX,3
2012,TX,3
2012,AL,8
2012,KS,0.36
2012,MO,0.71
2012,LA,0.6
2012,TX,20
2012,NJ,0.48
2012,TX,0.24
2012,OK,0.71
2012,ND,150
2012,MO,3.2
2012,TX,0.1
2012,MO,5
2012,OK,7
2012,WY,0.14
2012,IL,2.38
2012,TX,10
2012,TX,0.4
2012,NJ,53.18
2012,TX,1.5
2012,MN,3.4
2012,CA,9.29
2012,GA,14
2012,TX,2.5
2012,OK,5
2012,WI,1.19
2012,OK,3
2012,TX,239
2012,TX,2880
2012,TX,0
2012,KS,26
2012,OH,0.02
2012,CA,0.42
2012,CA,0.6
2012,TX,15
2012,LA,10
2012,KS,304
2012,TX,0.1
2012,TX,0.25
2012,MS,0.19
2012,TX,20
2012,TX,8
2012,TX,1
2012,OK,0.48
2012,KS,60
2012,PA,100
2012,TX,250
2012,TX,1
2012,TX,0.12
2012,KS,5.69
2012,CO,0.36
2012,OH,23.5
2012,MO,0.2
2012,KS,142
2012,TX,465
2012,TX,2.4
2012,OK,211
2012,CA,13
2012,TX,0.48
2012,NM,4
2012,TX,0.12
2012,TX,2
2012,TX,0.12
2012,PA,8.7
2012,KS,99
2012,LA,15.67
2012,WI,1302
2012,LA,0.36
2012,LA,50
2012,TX,6.3
2012,WY,3
2012,TX,3117
2012,TX,16
2012,NY,27.4
2012,TX,132
2012,OK,1
2012,MN,1
2012,KS,0.12
2012,TX,0.2
2012,TX,0.83
2012,WI,1729
2012,VA,0.95
2012,TX,217
2012,MO,1
2012,TX,0.36
2012,OK,1
2012,WI,0.24
2012,AL,0.21
2012,TX,0.44
2012,TX,24.2
2012,OR,0.5
2012,TX,3
2012,NM,4
2012,GA,1.38
2012,KS,0.4
2012,PA,4.14
2012,OK,0.5
2012,TX,5
2012,TX,0.25
2012,IL,25
2012,FL,0.1
2012,WY,0.36
2012,IL,0.2
2012,TX,5
2012,WY,20
2012,IL,704
2012,MT,0.36
2012,KS,0.1
2012,TX,1.19
2012,CA,15
2012,LA,1
2012,TX,2
2012,MI,2.38
2012,TX,80
2012,IA,8.78
2012,NJ,0.38
2012,CA,25
2012,LA,0.02
2012,IA,54.65
2012,NJ,0.12
2012,TX,0.5
2012,NJ,0.71
2012,TX,100
2012,LA,0.95
2012,KS,0.38
2012,LA,3.75
2012,TX,6700
2012,TX,40
2012,TX,10
2012,TX,70
2012,TX,1
2012,TX,1
2012,CA,2.9
2012,TX,0.48
2012,TX,0.71
2012,CA,0.24
2012,TX,1.09
2012,CA,19.6
2012,IN,0.95
2012,IL,0.1
2012,TX,1
2012,TX,13
2012,TX,1.5
2012,CA,3
2012,WY,20
2012,TX,0.24
2012,TN,85.7
2012,LA,59.7
2012,VA,3.5
2012,OK,75
2012,CO,0.48
2012,LA,2
2012,OK,1
2012,IL,1.5
2012,CA,6.71
2012,LA,2
2012,LA,0
2012,UT,30
2012,CA,0.24
2012,CA,45
2012,TX,718
2012,OK,0.83
2012,TX,450
2012,TX,0.12
2012,KS,0.24
2012,MN,0.12
2012,IL,10
2012,TX,100
2012,WY,200
2012,LA,1.5
2012,OK,0.6
2012,CA,0.67
2012,,0.11
2012,NJ,1
2012,IA,0.1
2012,OK,200
2012,CA,20
2012,IA,1.9
2012,WA,0.48
2012,TX,2
2012,NM,4
