Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
WEST TEXAS GULF PIPELINE CO,0,0.5
"DELEK LOGISTICS OPERATING, LLC.",223,177
WYOMING PIPELINE COMPANY,0,1
PHILLIPS 66 PIPELINE LLC,0.36,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"PLAINS PIPELINE, L.P.",65,0
LACLEDE GAS CO,0,0.05
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",4,1
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",1,4
MOBIL CHEMICAL CO,0,4.5
"KINDER MORGAN LIQUID TERMINALS, LLC",0.54,0
MARATHON PIPE LINE LLC,0.9,0
"PETROLOGISTICS OLEFINS, LLC",0,7
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
ENTERPRISE CRUDE PIPELINE LLC,400,0
"ONEOK NGL PIPELINE, LLC",0,176
ENTERPRISE CRUDE PIPELINE LLC,4,0
KINDER MORGAN CO2 CO. LP,0,2066
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.01
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"PLAINS PIPELINE, L.P.",1.5,0
KINDER MORGAN WINK PIPELINE LP,0,3
SINCLAIR TRANSPORTATION COMPANY,270,0
JAYHAWK PIPELINE LLC,2.1,0.8
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",10,0
SKEISUI SPECIALTY CHEMICALS AMERICA,298.78,445.27
EXPLORER PIPELINE CO,0.2,0
"GEL OFFSHORE PIPELINE, LLC",0,0.1
PLANTATION PIPE LINE CO,163,445
"PLAINS PIPELINE, L.P.",4,0
"PLAINS PIPELINE, L.P.",0.26,0
EXPLORER PIPELINE CO,2.5,0
"PLAINS PIPELINE, L.P.",331,0
"MAGELLAN PIPELINE COMPANY, LP",0,0.6
"GENESIS PIPELINE USA, L.P.",20,0
WYOMING PIPELINE COMPANY,34,1
SUNOCO PIPELINE L.P.,0,2
"PLAINS PIPELINE, L.P.",0.19,0
EXPLORER PIPELINE CO,250,0
ENTERPRISE PRODUCTS OPERATING LLC,1,0
CHEMOIL TERMINALS CORP.,600,389
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",103,787
CHEVRON PIPE LINE CO,0.24,0
"PLAINS PIPELINE, L.P.",110,40
MOBIL  PIPE  LINE COMPANY,0.48,0
"GENESIS PIPELINE TEXAS, L.P.",1,0
"SHELL PIPELINE CO., L.P.",2,0
COLONIAL PIPELINE CO,15.88,0
BP PIPELINE (NORTH AMERICA) INC.,0.71,0
MARATHON PIPE LINE LLC,84,0
"MAGELLAN PIPELINE COMPANY, LP",0,0.2
"SHELL PIPELINE CO., L.P.",0.48,0
MARATHON PIPE LINE LLC,0,0
MARATHON PIPE LINE LLC,7.1,0
"SHELL PIPELINE CO., L.P.",0.5,0
JAYHAWK PIPELINE LLC,10,10.7
"KOCH PIPELINE COMPANY, L.P.",22,3
PHILLIPS 66 PIPELINE LLC,0,3.5
"MAGELLAN PIPELINE COMPANY, LP",0,0.6
"MAGELLAN AMMONIA PIPELINE, L.P.",0,2.85
WYOMING PIPELINE COMPANY,0,0.5
COLONIAL PIPELINE CO,1.6,0
COLONIAL PIPELINE CO,0.3,0
"BUCKEYE PARTNERS, LP",3.3,8.6
"SFPP, LP",7,0.2
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,37,0
DCP MIDSTREAM,0,473
"BKEP PIPELINE, LLC",0.5,0
FREEPORT-MCMORAN OIL & GAS,0,0.12
PHILLIPS 66 PIPELINE LLC,0.35,0
VALERO REFINING COMPANY - CALIFORNIA,22,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",3,0
MARATHON PIPE LINE LLC,348,298
COLONIAL PIPELINE CO,0.3,0
KINDER MORGAN COCHIN LLC,23,0
HOUSTON REFINING LP.,67.82,0
"CHAPARRAL ENERGY, LLC",0,1
"MAGELLAN AMMONIA PIPELINE, L.P.",0,4.2
"PLAINS PIPELINE, L.P.",10,0
TESORO SOCAL PIPELINE COMPANY LLC,225,0
"PLAINS PIPELINE, L.P.",10,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.06
"KINDER MORGAN LIQUID TERMINALS, LLC",0.67,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"PLAINS PIPELINE, L.P.",3,0
ROSE ROCK MIDSTREAM L.P.,0,0.36
EXPLORER PIPELINE CO,10,0
ENTERPRISE CRUDE PIPELINE LLC,120,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",500,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
CENTURION PIPELINE L.P.,600,200
OLYMPIC PIPE LINE COMPANY,0.19,0
WILLIAMS FIELD SERVICES,350,0
COLONIAL PIPELINE CO,0.7,0
"MAGELLAN PIPELINE COMPANY, LP",0,0.2
"SHELL PIPELINE CO., L.P.",0,1.49
"PLAINS PIPELINE, L.P.",1,0
"PLAINS PIPELINE, L.P.",2.38,0
TC OIL PIPELINE OPERATIONS INC,1,0
MARATHON PIPE LINE LLC,0.8,0
CHEVRON MIDSTREAM PIPELINES LLC,0,0.02
"BUCKEYE PARTNERS, LP",0.05,0
"ONEOK NGL PIPELINE, LLC",0,14
"MAGELLAN TERMINALS HOLDINGS, LP",0.71,0
"WHITE CLIFFS PIPELINE, LLC",0,4
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,8,0
MOBIL PACIFIC PIPELINE CO,16,0
ENTERPRISE PRODUCTS OPERATING LLC,0.2,0
PHILLIPS 66 PIPELINE LLC,0,0.28
"MAGELLAN PIPELINE COMPANY, LP",3.3,6.7
MARATHON PIPE LINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,4,0
NORTH DAKOTA PIPELINE COMPANY LLC,0.21,0
EXPLORER PIPELINE CO,0.7,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1.1,0
CENTRAL FLORIDA PIPELINE CORP,0.1,0
"EXPRESS HOLDINGS (USA), LLC",2,0
"MAGELLAN PIPELINE COMPANY, LP",5,1
ROSE ROCK MIDSTREAM L.P.,1.5,0.5
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.26,0
MOBIL  PIPE  LINE COMPANY,0.59,0
SINCLAIR TRANSPORTATION COMPANY,5,25
"MAGELLAN AMMONIA PIPELINE, L.P.",13.86,2.8
LOOP LLC,0,0.1
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",2.5,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.35,0.01
SUNOCO PIPELINE L.P.,0,0.71
"BUCKEYE PARTNERS, LP",130,13
"MAGELLAN TERMINALS HOLDINGS, LP",0.2,0
"BUCKEYE PARTNERS, LP",0.24,0
PLANTATION PIPE LINE CO,338,581
PHILLIPS 66 PIPELINE LLC,0.17,0
COLONIAL PIPELINE CO,2.12,0
"ONEOK NGL PIPELINE, LLC",0,52
ENTERPRISE PRODUCTS OPERATING LLC,0,0.93
WYOMING PIPELINE COMPANY,0,1
ENTERPRISE CRUDE PIPELINE LLC,0.1,0
"MAGELLAN TERMINALS HOLDINGS, LP",1,0
ROSE ROCK MIDSTREAM L.P.,0,0.83
ENTERPRISE CRUDE PIPELINE LLC,2,0
"BP PIPELINES (ALASKA), INC",6,0
"BUCKEYE PARTNERS, LP",2.4,0
"TALLGRASS PONY EXPRESS PIPELINE, LLC",70,130
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.02
"PLAINS PIPELINE, L.P.",1,0
ENTERPRISE CRUDE PIPELINE LLC,2,0
BUTTE PIPELINE CO,3,2
"FIELDWOOD ENERGY, LLC",10,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.48,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0,1.9
ROSE ROCK MIDSTREAM L.P.,39,1
"ONEOK NGL PIPELINE, LLC",0,3.4
ENTERPRISE CRUDE PIPELINE LLC,5,0
BELLE FOURCHE PIPELINE CO,10,5
"PLAINS PIPELINE, L.P.",30,0
KINDER MORGAN WINK PIPELINE LP,0,17.1
"KOCH PIPELINE COMPANY, L.P.",0.24,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
KINDER MORGAN CRUDE AND CONDENSATE LLC,0.95,0
"MAGELLAN AMMONIA PIPELINE, L.P.",15.6,0
"SFPP, LP",12.76,0
EXXONMOBIL OIL CORP - WEST COAST,0.24,0
CHEVRON U.S.A. INC,0.02,0
PHILLIPS 66 PIPELINE LLC,2.13,0
ENTERPRISE PRODUCTS OPERATING LLC,250,0
ENTERPRISE PRODUCTS OPERATING LLC,0,1.2
PHILLIPS 66 PIPELINE LLC,0,1
EXXONMOBIL PIPELINE CO,6,9
SUNOCO PIPELINE L.P.,0,1.43
"KOCH PIPELINE COMPANY, L.P.",3.93,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"PLAINS PIPELINE, L.P.",1,0
ENTERPRISE CRUDE PIPELINE LLC,128,0
DAKOTA GASIFICATION COMPANY,0,1
"WHITE CLIFFS PIPELINE, LLC",20,0
PHILLIPS 66 PIPELINE LLC,0,0.15
"BUCKEYE PARTNERS, LP",1,9
COLONIAL PIPELINE CO,0.45,0
"JP ENERGY MARKETING, LLC",95,20
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",21.4,0
ENTERPRISE CRUDE PIPELINE LLC,10,0
"KOCH PIPELINE COMPANY, L.P.",1,0
ENBRIDGE STORAGE (CUSHING) L.L.C.,8.9,0
WYOMING PIPELINE COMPANY,0.24,0
"KOCH PIPELINE COMPANY, L.P.",6,0.5
"KINDER MORGAN LIQUID TERMINALS, LLC",2.38,0
DCP MIDSTREAM,0,34.6
PHILLIPS 66 PIPELINE LLC,0.25,0.19
"MAGELLAN PIPELINE COMPANY, LP",0.2,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"SFPP, LP",0.86,0
WYOMING PIPELINE COMPANY,45,0
PHILLIPS 66 PIPELINE LLC,0,0.13
SUNOCO PIPELINE L.P.,0,1
CHEVRON PETROCHEMICAL PIPELINE LLC,0,6
ENTERPRISE CRUDE PIPELINE LLC,3,0
KINDER MORGAN CRUDE AND CONDENSATE LLC,0.48,0
MID - VALLEY PIPELINE CO,4069,440
WYOMING PIPELINE COMPANY,0,3
"KINDER MORGAN LIQUID TERMINALS, LLC",1.5,0.5
SUNOCO PIPELINE L.P.,12,3
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
ENTERPRISE CRUDE PIPELINE LLC,4,0
COLONIAL PIPELINE CO,0.25,0
WYOMING PIPELINE COMPANY,6,2
COLONIAL PIPELINE CO,2.4,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.6
COLONIAL PIPELINE CO,0.36,0
PHILLIPS 66 PIPELINE LLC,0,0.17
KINDER MORGAN CO2 CO. LP,0,90
"BLUE RACER MIDSTREAM, LLC",0,0
ROSE ROCK MIDSTREAM L.P.,1,1
SUNOCO PIPELINE L.P.,15,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.12,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
MARATHON PIPE LINE LLC,40,0
SUNOCO PIPELINE L.P.,4,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.36,0
"PLAINS PIPELINE, L.P.",790,0
ENTERPRISE PRODUCTS OPERATING LLC,0,3216
"CALUMET MONTANA REFINING, LLC",0,0.24
OLYMPIC PIPE LINE COMPANY,7.49,0
CRIMSON PIPELINE L.P.,1.72,3.28
CALNEV PIPELINE CO,0.31,0
ENTERPRISE CRUDE PIPELINE LLC,0.3,0
EXPLORER PIPELINE CO,20,0
"PLAINS PIPELINE, L.P.",30,0
"SHELL PIPELINE CO., L.P.",2,0
CENTRAL FLORIDA PIPELINE CORP,0,0
"WESTERN REFINING PIPELINE, LLC",4.08,0.92
"TALLGRASS PONY EXPRESS PIPELINE, LLC",47.62,71.43
KINDER MORGAN CRUDE AND CONDENSATE LLC,0.63,0
"PLAINS MARKETING, L.P.",1,0
SUNOCO PIPELINE L.P.,1,0.5
"MAGELLAN PIPELINE COMPANY, LP",13,0
"BUCKEYE PARTNERS, LP",0.19,0
BUTTE PIPELINE CO,16,9
"BUCKEYE PARTNERS, LP",1.45,0
"WESTERN REFINING PIPELINE, LLC",58,4
EXPLORER PIPELINE CO,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,0.4,0
"PLAINS PIPELINE, L.P.",50,0
"PLAINS PIPELINE, L.P.",2,0
"ONEOK NGL PIPELINE, LLC",0,0.24
"PLAINS PIPELINE, L.P.",4,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",5.95,0
KINDER MORGAN COCHIN LLC,0.42,0
PHILLIPS 66 PIPELINE LLC,0.55,0
KINDER MORGAN CO2 CO. LP,0,31.8
ENTERPRISE PRODUCTS OPERATING LLC,0.24,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0,0
CENTURION PIPELINE L.P.,1,19
PLANTATION PIPE LINE CO,4978,3822
ENTERPRISE CRUDE PIPELINE LLC,35,0
KINDER MORGAN COCHIN LLC,5.7,0
"SFPP, LP",0.01,0
PHILLIPS 66 PIPELINE LLC,0.79,0
"BUCKEYE PARTNERS, LP",1,0
COLONIAL PIPELINE CO,2,20.6
PLANTATION PIPE LINE CO,0,0
"PLAINS PIPELINE, L.P.",1,0
"BUCKEYE PARTNERS, LP",0,0.12
WYOMING PIPELINE COMPANY,5,0
"TALLGRASS PONY EXPRESS PIPELINE, LLC",0,1.19
EXXONMOBIL PIPELINE CO,0.36,0
"BUCKEYE PARTNERS, LP",1.9,0.48
"PLAINS PIPELINE, L.P.",0.24,0
"KOCH PIPELINE COMPANY, L.P.",18.9,1.1
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,0.5
"MAGELLAN PIPELINE COMPANY, LP",0.47,0
"MAGELLAN TERMINALS HOLDINGS, LP",6,0
MARATHON PIPE LINE LLC,0,0
WILLIAMS FIELD SERVICES,0,1924
MARATHON PIPE LINE LLC,0.6,8.8
"KINDER MORGAN LIQUID TERMINALS, LLC",99,1
EXXONMOBIL PIPELINE CO,9,0
ENTERPRISE PRODUCTS OPERATING LLC,0,181
"PLAINS PIPELINE, L.P.",435,65
PLANTATION PIPE LINE CO,0,9.52
"PLAINS PIPELINE, L.P.",1,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1.9,0.1
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
PHILLIPS 66 COMPANY - SWEENY REFINERY,0.24,0
ENTERPRISE CRUDE PIPELINE LLC,200,100
MID - VALLEY PIPELINE CO,95,5
ENBRIDGE PIPELINES (OZARK) L.L.C.,1,0
ENTERPRISE PRODUCTS OPERATING LLC,0,27123
"SFPP, LP",58.9,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",5,0
"TALLGRASS PONY EXPRESS PIPELINE, LLC",0,0.48
SUNOCO PIPELINE L.P.,0,30
"ONEOK NGL PIPELINE, LLC",0,1
"KOCH PIPELINE COMPANY, L.P.",17.5,2.5
ENTERPRISE CRUDE PIPELINE LLC,25,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"CRIMSON GULF, LLC",0.05,0
BRIDGER PIPELINE LLC,65,693
NORTH DAKOTA PIPELINE COMPANY LLC,0.06,0
MARATHON PIPE LINE LLC,0.7,0
CALNEV PIPELINE CO,0.89,2.68
EXXONMOBIL PIPELINE CO,1.75,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
COLONIAL PIPELINE CO,0.88,0
"ONEOK NGL PIPELINE, LLC",0,6.9
"PLAINS MARKETING, L.P.",0.5,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",2,0
ASIG - HONOLULU,820,480
ENTERPRISE CRUDE PIPELINE LLC,3,0
"PLAINS PIPELINE, L.P.",2,0
BUTTE PIPELINE CO,2,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
HARVEST PIPELINE COMPANY,0,0.07
ENTERPRISE PRODUCTS OPERATING LLC,0,30565
"GENESIS PIPELINE USA, L.P.",0.4,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.63,0.48
ENTERPRISE PRODUCTS OPERATING LLC,0,24
"BUCKEYE PARTNERS, LP",0.24,0
MARATHON PIPE LINE LLC,0.4,0
COLONIAL PIPELINE CO,2.86,0
WEST TEXAS GULF PIPELINE CO,1,0
"JP ENERGY MARKETING, LLC",760,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.36,0
ENTERPRISE CRUDE PIPELINE LLC,35,0
"MAGELLAN PIPELINE COMPANY, LP",308,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.01,0
WYOMING PIPELINE COMPANY,0.5,0
"WESTERN REFINING PIPELINE, LLC",105,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.2
INLAND CORPORATION,0.71,0
"SHELL PIPELINE CO., L.P.",15,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0.9,0.1
PHILLIPS 66 PIPELINE LLC,0,0.38
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.01,0
ENTERPRISE CRUDE PIPELINE LLC,75,125
WILLIAMS FIELD SERVICES,0,51
ROSE ROCK MIDSTREAM L.P.,1,2
"MAGELLAN PIPELINE COMPANY, LP",2.9,0
"PLAINS PIPELINE, L.P.",2,0
"BUCKEYE PARTNERS, LP",0.24,0
MARATHON PIPE LINE LLC,112,48
MOTIVA ENTERPRISE LLC,2.5,0
ENBRIDGE STORAGE (CUSHING) L.L.C.,0.5,0
"PLAINS PIPELINE, L.P.",10,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
PHILLIPS 66 PIPELINE LLC,2.97,0
WYOMING PIPELINE COMPANY,64.5,0.5
"SFPP, LP",0.11,0
"PLAINS PIPELINE, L.P.",81,4
WEST TEXAS GULF PIPELINE CO,15,15
KINDER MORGAN COCHIN LLC,0.45,0.17
COLONIAL PIPELINE CO,0.7,0
ENBRIDGE STORAGE (CUSHING) L.L.C.,0.18,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
KINDER MORGAN CO2 CO. LP,0,23
SUNOCO PIPELINE L.P.,0.12,0
"BUCKEYE PARTNERS, LP",0,0.01
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",4.76,0
PHILLIPS 66 PIPELINE LLC,0,0.33
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
SUNOCO PIPELINE L.P.,297,0
PHILLIPS 66 PIPELINE LLC,0,0.48
EXXONMOBIL OIL CORP - WEST COAST,15,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
ENTERPRISE CRUDE PIPELINE LLC,1,0
EXXONMOBIL PIPELINE CO,80,0
"PLAINS PIPELINE, L.P.",90,10
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.19,0
BELLE FOURCHE PIPELINE CO,385,5
KINDER MORGAN WINK PIPELINE LP,0,12
"BUCKEYE PARTNERS, LP",84,0
"WHITE CLIFFS PIPELINE, LLC",0,0.1
"MAGELLAN PIPELINE COMPANY, LP",0.1,0.06
PHILLIPS 66 PIPELINE LLC,0,0.33
ENTERPRISE PRODUCTS OPERATING LLC,0.2,0
"MAGELLAN PIPELINE COMPANY, LP",20,5
"MAGELLAN PIPELINE COMPANY, LP",20,5
"TALLGRASS PONY EXPRESS PIPELINE, LLC",0,300
"ONEOK NGL PIPELINE, LLC",0,5
"BUCKEYE PARTNERS, LP",0.6,0
COLONIAL PIPELINE CO,23.1,0
DOUBLE H,0.3,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
ROSE ROCK MIDSTREAM L.P.,0,0.2
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"BUCKEYE PARTNERS, LP",0.6,0
MARATHON PIPE LINE LLC,2,0
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
EXXONMOBIL PIPELINE CO,0.71,0
MARATHON PIPE LINE LLC,52,28
MARATHON PIPE LINE LLC,0.5,0
"CCPS TRANSPORTATION, LLC",0.95,0
SUNOCO PIPELINE L.P.,8,0
ENTERPRISE PRODUCTS OPERATING LLC,0,3
"BUCKEYE PARTNERS, LP",0.21,0
WYOMING PIPELINE COMPANY,0.5,0
MARATHON PIPE LINE LLC,0.5,0
PHILLIPS 66 PIPELINE LLC,0.26,0
SUNOCO PIPELINE L.P.,0.4,0
SUNOCO PIPELINE L.P.,0.75,0.1
COLONIAL PIPELINE CO,2.4,0
ENTERPRISE PRODUCTS OPERATING LLC,1.4,0
"MAGELLAN PIPELINE COMPANY, LP",5,0
"ONEOK NGL PIPELINE, LLC",0,4.4
PHILLIPS 66 PIPELINE LLC,1.66,0
"PLAINS PIPELINE, L.P.",8,0
"MAGELLAN PIPELINE COMPANY, LP",2.38,0
JAYHAWK PIPELINE LLC,0.23,0.15
ENTERPRISE CRUDE PIPELINE LLC,3,0
HARVEST PIPELINE COMPANY,210,190
"SHELL PIPELINE CO., L.P.",0.36,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
"KOCH PIPELINE COMPANY, L.P.",0,0.79
EXPLORER PIPELINE CO,4.48,0
SUNOCO PIPELINE L.P.,0.4,0
ENTERPRISE PRODUCTS OPERATING LLC,0,5
COLONIAL PIPELINE CO,62.9,0
COLONIAL PIPELINE CO,0.36,0
"WESTERN REFINING PIPELINE, LLC",50,0
EXPLORER PIPELINE CO,0.26,0
ALYESKA PIPELINE SERVICE CO,4.31,0
ENTERPRISE PRODUCTS OPERATING LLC,0,2.3
"PLAINS PIPELINE, L.P.",0.95,0
ENTERPRISE PRODUCTS OPERATING LLC,0,2535
ENTERPRISE CRUDE PIPELINE LLC,0.4,0
SUNOCO PIPELINE L.P.,0.3,0
ENTERPRISE CRUDE PIPELINE LLC,4,0
EXPLORER PIPELINE CO,0.62,0
"EXPRESS HOLDINGS (USA), LLC",0.2,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",10,0
KINDER MORGAN WINK PIPELINE LP,0,0.45
PHILLIPS 66 PIPELINE LLC,0.71,0
"MAGELLAN PIPELINE COMPANY, LP",10,0
ENBRIDGE STORAGE (CUSHING) L.L.C.,0.24,0
COLONIAL PIPELINE CO,1.38,0.05
COLONIAL PIPELINE CO,0.45,0
"PLAINS PIPELINE, L.P.",25,0
MARATHON PIPE LINE LLC,4,0
"MAGELLAN PIPELINE COMPANY, LP",0.1,0
PETROLEUM FUEL AND TERMINAL COMPANY,0.24,0
MARATHON PIPE LINE LLC,0.6,0
"BUCKEYE PARTNERS, LP",0.24,0
ENTERPRISE CRUDE PIPELINE LLC,2,0
KINDER MORGAN CRUDE AND CONDENSATE LLC,0.48,0
PHILLIPS 66 PIPELINE LLC,3.7,0
"MAGELLAN PIPELINE COMPANY, LP",1773,88
NAVAJO NATION OIL AND GAS COMPANY,100,0
"CHAPARRAL ENERGY, LLC",0,4.5
"SHELL PIPELINE CO., L.P.",0.12,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
SUNOCO PIPELINE L.P.,0,3
ENTERPRISE CRUDE PIPELINE LLC,0.4,0
"PLAINS PIPELINE, L.P.",4,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,445,0
SUNOCO PIPELINE L.P.,630,20
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
SUNOCO PIPELINE L.P.,0,0.1
"PLAINS PIPELINE, L.P.",1,0
"BUCKEYE PARTNERS, LP",0.59,0
MARATHON PIPE LINE LLC,0.8,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
WEST SHORE PIPELINE CO,1,1
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"PLAINS PIPELINE, L.P.",1100,1834
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
DCP MIDSTREAM,0,770
ENTERPRISE CRUDE PIPELINE LLC,10,0
MARATHON PIPE LINE LLC,5,0
"PLAINS PIPELINE, L.P.",1,0
"SFPP, LP",0.83,0
"SHELL PIPELINE CO., L.P.",1.66,6.2
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"MAGELLAN PIPELINE COMPANY, LP",172,0
COLONIAL PIPELINE CO,0.24,0
SUNOCO PIPELINE L.P.,17,3
ENERGY TRANSFER COMPANY,0,0.5
ALYESKA PIPELINE SERVICE CO,0.24,0
"PLAINS PIPELINE, L.P.",35,0
SUNOCO PIPELINE L.P.,50,10
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,7.18,1.8
WEST TEXAS GULF PIPELINE CO,0.71,0
"PLAINS PIPELINE, L.P.",12.7,0
COLONIAL PIPELINE CO,0.26,0
PHILLIPS 66 PIPELINE LLC,0.91,0
COLONIAL PIPELINE CO,0.67,0
KINDER MORGAN WINK PIPELINE LP,0,1.5
"MAGELLAN PIPELINE COMPANY, LP",0.47,0
"ROADRUNNER PIPELINE, L.L.C.",0,0.25
WEST TEXAS GULF PIPELINE CO,0.5,0.5
"SHELL PIPELINE CO., L.P.",0.6,0
EXPLORER PIPELINE CO,0.18,0
WYOMING PIPELINE COMPANY,40,0
ENTERPRISE CRUDE PIPELINE LLC,0.4,0
MARATHON PIPE LINE LLC,3.5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",3.57,0
SUNOCO PIPELINE L.P.,0,0.4
"BUCKEYE PARTNERS, LP",5.7,0
"KOCH PIPELINE COMPANY, L.P.",0,4.05
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",3,0
"ONEOK NGL PIPELINE, LLC",0,1609
"NUSTAR LOGISTICS, L.P.",0,8000
"NUSTAR LOGISTICS, L.P.",0,315
WYOMING PIPELINE COMPANY,0,2
WEST TEXAS GULF PIPELINE CO,3100,200
"SHELL PIPELINE CO., L.P.",0,4.71
VALERO REFINING-TEXAS L.P.,0,976
WYOMING PIPELINE COMPANY,0,1
COLONIAL PIPELINE CO,0.1,0
PHILLIPS 66 PIPELINE LLC,0,0.01
SUNOCO PIPELINE L.P.,0,0.36
"ONEOK NGL PIPELINE, LLC",0,6
"MAGELLAN PIPELINE COMPANY, LP",0.16,0
LOOP LLC,0,0.04
"WESTERN REFINING PIPELINE, LLC",682,0
PHILLIPS 66 PIPELINE LLC,260,0
ROSE ROCK MIDSTREAM L.P.,0.5,0
DOUBLE H,1.5,0
COLONIAL PIPELINE CO,0.12,0
"SHELL PIPELINE CO., L.P.",1,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.07,0
WEST TEXAS GULF PIPELINE CO,0,0.24
SUNOCO PIPELINE L.P.,0,4.5
WYOMING PIPELINE COMPANY,25,5
"PLAINS PIPELINE, L.P.",56,44
"TALLGRASS PONY EXPRESS PIPELINE, LLC",0.5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1.79,0
CENTRAL FLORIDA PIPELINE CORP,0.96,0
WYOMING PIPELINE COMPANY,0,2
"COUNTRYMARK REFINING AND LOGISTICS, LLC",40,11.5
"PLAINS PIPELINE, L.P.",0.6,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,1.43
"CCPS TRANSPORTATION, LLC",1,0
ENTERPRISE CRUDE PIPELINE LLC,10,0
"EXPRESS HOLDINGS (USA), LLC",162,0
SUNOCO PIPELINE L.P.,1,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.6
DOUBLE H,139.42,5.58
CENTURION PIPELINE L.P.,300,100
ENBRIDGE PIPELINES (TOLEDO) INC,6.02,0
ENERGY TRANSFER COMPANY,0,27
ULTRAMAR INC,56,208
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",13.9,0
"ONEOK NGL PIPELINE, LLC",0,5
COLONIAL PIPELINE CO,1.9,0
SUNOCO PIPELINE L.P.,1,0
"BUCKEYE PARTNERS, LP",0.23,0
