Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
"SFPP, LP",2.5,0
"PLAINS PIPELINE, L.P.",0.5,0
ONEOK NGL PIPELINE LP,0,3.53
ENTERPRISE CRUDE PIPELINE LLC,10,10
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
COLONIAL PIPELINE CO,0.36,0.12
SEMGROUP LP,90,5
"SHELL PIPELINE CO., L.P.",12,5
ENTERPRISE CRUDE PIPELINE LLC,0,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.36,0
BP WEST COAST PRODUCTS L.L.C.,41,79
"MAGELLAN PIPELINE COMPANY, LP",48,0
SUNOCO PIPELINE L.P.,0,0.48
ENTERPRISE CRUDE PIPELINE LLC,10,5
JAYHAWK PIPELINE LLC,2,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,8.62
SUNOCO PIPELINE L.P.,10,5
ENTERPRISE CRUDE PIPELINE LLC,0,0.71
ENTERPRISE PRODUCTS OPERATING LLC,0,25
"SHELL PIPELINE CO., L.P.",495,535
COLONIAL PIPELINE CO,0.24,0
SUNOCO PIPELINE L.P.,0,100
"KINDER MORGAN LIQUID TERMINALS, LLC",2,2
JAYHAWK PIPELINE LLC,0.19,0.16
ENTERPRISE CRUDE PIPELINE LLC,8,2
CHEVRON PIPE LINE CO,0.76,0
KINDER MORGAN PIPELINES (USA) INC,90,0
DIXIE PIPELINE,0,3
COLONIAL PIPELINE CO,1.48,0
CHEVRON PIPE LINE CO,0.54,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,2.3
COLONIAL PIPELINE CO,0.43,0
BP WEST COAST PRODUCTS L.L.C.,0.24,0
KINDER MORGAN CO2 CO. LP,0,26
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
ENTERPRISE PRODUCTS OPERATING LLC,10,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
ONEOK NGL PIPELINE LP,0,83
CHEVRON PIPE LINE CO,250,250
"BUCKEYE PARTNERS, LP",10.3,489.7
CONOCOPHILLIPS,0.83,0
SUNOCO PIPELINE L.P.,30,45
"PLAINS PIPELINE, L.P.",6,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.98
"MAGELLAN PIPELINE COMPANY, LP",0.6,0
"MAGELLAN PIPELINE COMPANY, LP",0.19,0
COLONIAL PIPELINE CO,1,0.17
"BUCKEYE PARTNERS, LP",3.78,0
UNOCAL PIPELINE CO - EASTERN REGION,3,0
ENTERPRISE PRODUCTS OPERATING LLC,0,1
"MAGELLAN PIPELINE COMPANY, LP",1,0.42
AMOCO OIL CO,0.23,0
EXPLORER PIPELINE CO,2,0
ONEOK NGL PIPELINE LP,0,286
ONEOK NGL PIPELINE LP,0,3415
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",195,4
ENTERPRISE PRODUCTS OPERATING LLC,0,4544
"BUCKEYE PARTNERS, LP",29,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.12,0.36
JAYHAWK PIPELINE LLC,0.19,0.05
"KOCH PIPELINE COMPANY, L.P.",0,0.24
WEST SHORE PIPELINE CO,1760,0
"ROADRUNNER PIPELINE, L.L.C.",0,1
CONOCOPHILLIPS,0,0.5
PLANTATION PIPE LINE CO,0.36,0
MID - VALLEY PIPELINE CO,58,17
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,27.29,0
EXXONMOBIL PIPELINE CO,0.67,0
"DENBURY ONSHORE, LLC",0,0.29
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,1.78,0
ONEOK NGL PIPELINE LP,0,7
"OILTANKING, HOUSTON LP",0,0.48
BP WEST COAST PRODUCTS L.L.C.,2,28
"MAGELLAN AMMONIA PIPELINE, L.P.",0,8.57
"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",0,4.5
"PLAINS PIPELINE, L.P.",125,0
MUSTANG PIPE LINE PARTNERS,5,0
ONEOK NGL PIPELINE LP,0,20
SUNOCO PIPELINE L.P.,0,0.5
CONOCOPHILLIPS,3,2
BELLE FOURCHE PIPELINE CO,20,10
EXXONMOBIL PIPELINE CO,0,1.7
ENTERPRISE CRUDE PIPELINE LLC,0,1
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.71
ALYESKA PIPELINE SERVICE CO,308,0
COLONIAL PIPELINE CO,8.62,0
"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",0,0.02
ONEOK NGL PIPELINE LP,0,406
ENTERPRISE PRODUCTS OPERATING LLC,0,0.14
"PETROLOGISTICS OLEFINS, LLC",0,5
"MAGELLAN TERMINALS HOLDINGS, LP",2,0
ONEOK NGL PIPELINE LP,0,0.95
COLONIAL PIPELINE CO,0,0.4
"BUCKEYE PARTNERS, LP",0.95,0
EXXONMOBIL PIPELINE CO,0.2,0
"DENBURY ONSHORE, LLC",0,1
COLONIAL PIPELINE CO,0.52,0
"BUCKEYE PARTNERS, LP",544,0
SUNOCO PIPELINE L.P.,215,1035
ENTERPRISE PRODUCTS OPERATING LLC,0,20
COLONIAL PIPELINE CO,1.74,0
BUCKEYE GULF COAST PIPELINE LP,0,23
CHEVRON PIPE LINE CO,79,0
ENTERPRISE CRUDE PIPELINE LLC,3600,3311
"PIPELINES OF PUERTO RICO INCD, THE",40,26
TC OIL PIPELINE OPERATIONS INC,0.24,0
EXXONMOBIL PIPELINE CO,5.6,0
"BUCKEYE PARTNERS, LP",0,0.02
ENTERPRISE PRODUCTS OPERATING LLC,3.57,0.43
TC OIL PIPELINE OPERATIONS INC,0.36,0
"PLAINS MARKETING, L.P.",9,0
"BUCKEYE PARTNERS, LP",1.2,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
DCP MIDSTREAM,5,995
ENTERPRISE PRODUCTS OPERATING LLC,85.7,2.4
"KINDER MORGAN LIQUID TERMINALS, LLC",47,0
ENTERPRISE CRUDE PIPELINE LLC,0,0.24
SUNOCO PIPELINE L.P.,38,0
"EQUISTAR CHEMICALS, L.P.",0,288.5
ENTERPRISE PRODUCTS OPERATING LLC,0,0
"KINDER MORGAN LIQUID TERMINALS, LLC",20,20
SUNOCO PIPELINE L.P.,0,0.5
TRANSPETCO TRANSPORT CO.,0,2530
SUNOCO PIPELINE L.P.,24,16
SUNOCO PIPELINE L.P.,3,1
ONEOK NGL PIPELINE LP,0,3.99
SUNOCO PIPELINE L.P.,20,58
"DENBURY GREEN PIPELINE-TEXAS, LLC",0,2.4
JAYHAWK PIPELINE LLC,240,160
"KINDER MORGAN LIQUID TERMINALS, LLC",0.4,0
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,7.14,0
TC OIL PIPELINE OPERATIONS INC,0.24,0
ONEOK NGL PIPELINE LP,0,50
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
"FRONT RANGE PIPELINE, LLC.",0.16,0
EXXONMOBIL PIPELINE CO,0,0.74
"PLAINS PIPELINE, L.P.",1,0
"MAGELLAN PIPELINE COMPANY, LP",0.83,0.12
ENTERPRISE CRUDE PIPELINE LLC,593,7
"BUCKEYE PARTNERS, LP",0.6,0
"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",3,0
"PLAINS PIPELINE, L.P.",4,0
HARBOR PIPELINE CO,0.19,0
"MAGELLAN PIPELINE COMPANY, LP",50,432
