Accident Year,Accident State,Unintentional Release (Barrels)
2011,TX,1
2011,TX,2
2011,TX,3
2011,TX,0.14
2011,TX,1
2011,TX,1
2011,TX,0.25
2011,TX,0.5
2011,TX,6
2011,TX,12229
2011,TX,0.42
2011,TX,1
2011,TX,20
2011,TX,33
2011,TX,12
2011,TX,50
2011,TX,1
2011,TX,275
2011,TX,2.3
2011,TX,0.14
2011,TX,29.4
2011,TX,0.28
2011,TX,70
2011,TX,0.38
2011,TX,2.6
2011,TX,1967
2011,TX,1.19
2011,TX,1.5
2011,TX,123
2011,TX,3
2011,TX,15
2011,TX,131
2011,TX,1
2011,TX,1
2011,TX,5
2011,TX,928.5
2011,TX,250
2011,TX,20
2011,TX,0.5
2011,TX,4
2011,TX,2
2011,TX,4
2011,TX,4.7
2011,TX,560
2011,TX,12836
2011,TX,500
2011,TX,0.24
2011,TX,0.35
2011,TX,80
2011,TX,0.5
2011,TX,10
2011,TX,0.5
2011,TX,0.16
2011,TX,210
2011,TX,1
2011,TX,0.12
2011,TX,73
2011,TX,0.35
2011,TX,4
2011,TX,6
2011,TX,0.48
2011,TX,80
2011,TX,1.5
2011,TX,90
2011,TX,1330
2011,TX,2490
2011,TX,100
2011,TX,1855
2011,TX,0.36
2011,TX,5
2011,TX,0.12
2011,TX,10
2011,TX,31
2011,TX,1
2011,TX,0.71
2011,TX,0.23
2011,TX,1
2011,TX,2.5
2011,TX,2
2011,TX,3283
2011,TX,0
2011,TX,0.23
2011,TX,2
2012,TX,117
2012,TX,0.12
2012,TX,2
2012,TX,2
2012,TX,70
2012,TX,0.16
2012,TX,26
2012,TX,0.33
2012,TX,0.35
2012,TX,1.2
2012,TX,14
2012,TX,1
2012,TX,2
2012,TX,1300
2012,TX,2
2012,TX,0.16
2012,TX,0.12
2012,TX,128
2012,TX,1.5
2012,TX,0.5
2012,TX,3
2012,TX,1
2012,TX,0.12
2012,TX,1
2012,TX,3
2012,TX,0.48
2012,TX,0.48
2012,TX,100
2012,TX,75
2012,TX,4.5
2012,TX,3.88
2012,TX,2.5
2012,TX,3
2012,TX,15.15
2012,TX,0.48
2012,TX,5
2012,TX,116
2012,TX,0.38
2012,TX,3
2012,TX,0.16
2012,TX,3
2012,TX,3
2012,TX,3
2012,TX,20
2012,TX,0.24
2012,TX,0.1
2012,TX,10
2012,TX,0.4
2012,TX,1.5
2012,TX,2.5
2012,TX,239
2012,TX,2880
2012,TX,0
2012,TX,15
2012,TX,0.1
2012,TX,0.25
2012,TX,20
2012,TX,8
2012,TX,1
2012,TX,250
2012,TX,1
2012,TX,0.12
2012,TX,465
2012,TX,2.4
2012,TX,0.48
2012,TX,0.12
2012,TX,2
2012,TX,0.12
2012,TX,6.3
2012,TX,3117
2012,TX,16
2012,TX,132
2012,TX,0.2
2012,TX,0.83
2012,TX,217
2012,TX,0.36
2012,TX,0.44
2012,TX,24.2
2012,TX,3
2012,TX,5
2012,TX,0.25
2012,TX,5
2012,TX,1.19
2012,TX,2
2012,TX,80
2012,TX,0.5
2012,TX,100
2012,TX,6700
2012,TX,40
2012,TX,10
2012,TX,70
2012,TX,1
2012,TX,1
2012,TX,0.48
2012,TX,0.71
2012,TX,1.09
2012,TX,1
